Produto;Espécie;Região;Mercado;Semana;Data;Mínima;Máxima;Freq 
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;24;12-06-2023;0.75;1.0;0.85
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;24;12-06-2023;0.26;0.3;0.28
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;25;19-06-2023;0.73;1.0;0.8
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;25;19-06-2023;0.26;0.33;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;24;09-06-2025;3.0;3.5;3.2
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;26;26-06-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;26;26-06-2023;0.73;1.0;0.8
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;26;26-06-2023;0.26;0.33;0.28
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;24;09-06-2025;0.53;0.56;0.54
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;24;09-06-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;27;03-07-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;27;03-07-2023;0.73;1.0;0.8
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;27;03-07-2023;0.26;0.33;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;25;16-06-2025;3.0;3.5;3.2
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;28;10-07-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;28;10-07-2023;0.73;1.0;0.8
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;28;10-07-2023;0.26;0.33;0.28
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;25;16-06-2025;0.53;0.56;0.54
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;25;16-06-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;36;01-09-2025;2.7;3.2;2.8
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;29;17-07-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;29;17-07-2023;0.73;1.0;0.8
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;29;17-07-2023;0.26;0.33;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;26;23-06-2025;3.0;3.5;3.2
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;26;23-06-2025;0.53;0.56;0.54
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;26;23-06-2025;0.25;0.27;0.26
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;33;14-08-2023;0.53;0.8;0.6
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;33;14-08-2023;0.28;0.33;0.3
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;34;21-08-2023;0.53;0.8;0.6
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;34;21-08-2023;0.28;0.33;0.3
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;36;04-09-2023;0.53;0.8;0.6
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;36;04-09-2023;0.28;0.33;0.3
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;32;04-08-2025;2.7;3.3;3.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;32;04-08-2025;0.4;0.5;0.45
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;32;04-08-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;33;11-08-2025;2.7;3.3;3.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;33;11-08-2025;0.4;0.5;0.45
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;33;11-08-2025;0.25;0.27;0.26
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;39;25-09-2023;0.53;0.8;0.6
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;39;25-09-2023;0.28;0.33;0.3
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;34;18-08-2025;2.7;3.3;3.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;34;18-08-2025;0.4;0.5;0.45
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;34;18-08-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;41;09-10-2023;3.0;3.0;3.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;41;09-10-2023;0.6;0.8;0.7
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;41;09-10-2023;0.24;0.32;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;35;25-08-2025;2.7;3.2;2.8
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;35;25-08-2025;0.37;0.47;0.4
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;35;25-08-2025;0.25;0.28;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;7;09-02-2026;2.5;3.0;2.6
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;7;09-02-2026;0.37;0.42;0.4
